date,avg_temp,avg_temp_48h,avg_humidity,energy_consumption
2026-01-09,-6.14,-5.4,88,21.5
2026-01-10,-7.66,-6.9,83,22.7
2026-01-11,-3.67,-5.7,88,22.1
2026-01-12,-4.83,-4.3,77,22.7
2026-01-13,-1.54,-3.2,90,19.4
2026-01-14,0.78,-0.4,91,13.5
2026-01-15,1.23,1,93,17.3
2026-01-16,1.27,1.3,87,20.7
2026-01-17,-0.47,0.40,93.14,18.90
2026-01-18,-5.28,-2.88,80.29,22.20
2026-01-19,-5.65,-5.47,83.37,25.90
2026-01-20,-5.21,-5.43,73.00,24.40
2026-01-21,-3.72,-4.46,70.32,23.10
2026-01-22,-3.63,-3.67,70.59,24.30
2026-01-23,-2.91,-3.27,86.21,16.80
2026-01-24,-0.41,-1.66,94.87,13.90
2026-01-25,0.86,0.22,93.35,12.10
2026-01-26,2.66,1.76,92.95,9.60
2026-01-27,1.47,2.06,88.93,11.00
2026-01-28,1.26,1.37,92.84,10.90
2026-01-29,0.25,0.76,89.33,13.70
2026-01-30,-0.04,0.11,86.01,13.20
2026-02-01,-6.56,-5.65,60.69,26.70
2026-02-02,-6.10,-6.26,67.80,24.40
2026-02-03,-4.79,-5.44,73.15,22.00
2026-02-04,-0.35,-2.57,85.34,15.60
2026-02-05,1.10,0.37,93.00,14.40
2026-02-06,2.39,1.74,94.79,13.00
2026-02-07,2.45,2.42,99.53,10.10
2026-02-08,0.84,1.65,97.30,13.20
2026-02-09,-1.21,-0.18,81.46,17.50
2026-02-10,0.79,-0.21,86.08,12.50
2026-02-11,2.62,1.70,81.11,12.30
2026-02-12,7.35,4.98,84.16,7.90
2026-02-13,6.53,6.94,87.34,8.50
